timestamp,sent_neu,sent_pos,sent_neg,retweets,likes,replies,gemo,open,high,low,close,volume
2020-01-09 06:07:00,0.00019968611,0.99979943,1.0121163e-06,5.7430031878094825,7.538494999413465,4.465908118654584,0.0201149652671946,7941.61,7945.44,7939.4,7942.89,14.445376
2020-01-19 23:03:00,0.18706489,0.031878147,0.78105694,6.919683849847411,8.369388996647842,8.249836485425702,-0.0425203414781278,8652.3,8652.99,8635.0,8641.56,23.746834
2020-01-20 07:57:00,0.9999411,4.1610263e-05,1.7302817e-05,5.891644211825772,7.767687277186908,5.327876168789581,-0.0215901539909527,8658.99,8660.0,8655.45,8658.16,23.388771
2020-02-12 11:07:00,8.7597946e-05,0.99990594,6.3948482e-06,6.171700597410915,7.784057002639929,4.820281565605037,-0.029465184722967,10317.54,10325.0,10309.34,10324.05,45.460911
2020-02-25 01:07:00,0.99912995,0.000115329836,0.00075476954,5.579729825986222,7.412764017426562,5.60947179518496,0.0190960190801242,9631.91,9632.13,9626.43,9627.99,15.502716
2020-02-29 23:15:00,0.9998938,1.4501533e-06,0.00010479585,6.154858094016418,7.473069088032197,5.303304908059076,-0.0522819526674745,8634.96,8635.04,8631.26,8635.04,14.425971
2020-03-02 06:29:00,0.914108,0.032822013,0.053070042,6.335054251498059,7.860956364876389,5.638354669333745,-0.0413806120987142,8680.93,8684.69,8680.01,8684.0,16.050344
2020-03-07 17:26:00,0.99999535,4.2709365e-07,4.1455646e-06,7.446585099157725,8.596558746796978,5.54907608489522,-0.0552582825722029,8941.38,8956.66,8939.96,8951.55,118.083923
2020-03-13 12:02:00,0.9999552,1.8524123e-07,4.4571818e-05,6.018593214496234,7.794411205726601,4.736198448394496,-0.0435206259684769,5429.72,5432.05,5391.3,5404.02,161.485008
2020-03-19 01:25:00,0.63162446,0.002272596,0.36610296,5.902633333401366,7.719573989259581,5.198497031265826,-0.0345813557274022,5381.42,5383.13,5377.45,5378.63,19.910028
2020-03-25 12:46:00,0.99999774,4.881583e-08,2.2379697e-06,5.916202062607435,7.468513271496337,5.247024072160486,-0.0301935014749008,6552.79,6552.97,6540.0,6540.87,34.013239
2020-04-05 11:02:00,0.4259513,0.5500429,0.024005791,6.159095388491933,7.484930283289661,4.465908118654584,-0.0409398860538227,6779.09,6818.76,6778.76,6802.62,447.724282
2020-04-10 21:57:00,0.9983005,0.00027856126,0.001420984,5.572154032177765,7.5126175446745105,5.010635294096256,0.0619019501228705,6885.54,6889.95,6884.11,6887.55,17.910099
2020-04-17 14:14:00,0.99987805,0.000110727284,1.1196643e-05,5.762051382780177,7.413970290190444,5.241747015059643,-0.0327024101387859,7043.51,7048.23,7038.0,7047.4,35.144982
2020-05-02 06:34:00,0.8443472,0.04213943,0.11351341,4.976733742420574,8.39615486303918,4.983606621708336,0.0230788211509331,8830.72,8832.81,8828.3,8830.83,20.845858
2020-05-02 06:44:00,0.99991965,4.875726e-06,7.544349e-05,7.664346632098617,9.725257613645429,6.965080345601407,-0.0151275143956746,8834.35,8835.13,8833.03,8835.13,22.604208
2020-05-09 11:46:00,0.0026649937,2.7829694e-05,0.9973072,5.950642552587727,7.384610383176974,4.330733340286331,0.0104977567790641,9589.31,9593.76,9583.35,9585.79,54.332054
